timestamp,user,success,country_risk,source_ip
2026-05-04T08:14:00,alice,1,0.22,192.168.1.14
2026-05-04T08:17:00,alice,0,0.22,192.168.1.14
2026-05-04T08:43:00,bob,1,0.18,192.168.2.31
2026-05-04T23:11:00,attacker1,0,0.91,45.121.88.201
2026-05-04T23:22:00,attacker1,0,0.94,45.121.88.201
2026-05-04T23:25:00,attacker1,0,0.96,45.121.88.201
2026-05-05T01:03:00,charlie,1,0.30,192.168.3.74
2026-05-05T01:08:00,charlie,0,0.30,192.168.3.74
2026-05-05T02:14:00,attacker2,0,0.88,45.130.77.18
2026-05-05T10:20:00,diana,1,0.21,192.168.4.11
2026-05-05T10:25:00,eve,1,0.26,192.168.5.8
2026-05-05T10:33:00,eve,0,0.26,192.168.5.8
